id,name,species_id,variety_name_type,created_at
1236,MALLINE JEWEL,47,raspberries_variety,2025-08-13 17:14:23
1237,BULL,15,cherries_variety,2025-08-13 17:14:23
1238,C 15,15,cherries_variety,2025-08-13 17:14:23
1239,DIXI,6,blueberries_variety,2025-08-13 17:14:23
1240,JULY DIAMMOND,27,nectarines_variety,2025-08-13 17:14:23
1241,SIN ESPECIFICAR,48,prickly pears_variety,2025-08-13 17:14:23
1242,BETTY ONNE,17,plums_variety,2025-08-13 17:14:23
1243,CI 526,17,plums_variety,2025-08-13 17:14:23
1244,SIERRA LADY,28,peaches_variety,2025-08-13 17:14:23
1245,WHITE ONIONS,16,onions_variety,2025-08-13 17:14:23
1246,AUTUMN,17,plums_variety,2025-08-13 17:14:23
1247,CRIOLLA,28,peaches_variety,2025-08-13 17:14:23
1248,KISSABEL R202,2,apples_variety,2025-08-13 17:14:23
1249,KISSABEL R206,2,apples_variety,2025-08-13 17:14:23
1250,SAPHIRE,27,nectarines_variety,2025-08-13 17:14:23
1251,KING RED,27,nectarines_variety,2025-08-13 17:14:23
1252,GREEN GLOBE,18,grape_variety,2025-08-13 17:14:23
1253,RED SUPERIOR SEEDLESS (SUGRAF,18,grape_variety,2025-08-13 17:14:23
1254,NAKAWA,27,nectarines_variety,2025-08-13 17:14:23
1255,SUGRATWELVE/ARRA 29,18,grape_variety,2025-08-13 17:14:23
1256,MANGO TANGO,17,plums_variety,2025-08-13 17:14:23
1257,SALSA,16,onions_variety,2025-08-13 17:14:23
1258,FLAME ROYAL,18,grape_variety,2025-08-13 17:14:23
1259,SUNRISE MAGIC,2,apples_variety,2025-08-13 17:14:23
1260,MORO,12,oranges_variety,2025-08-13 17:14:23
1261,ULTRA GALA,2,apples_variety,2025-08-13 17:14:23
1262,ANNAHEIM,3,avocados_variety,2025-08-13 17:14:23
1263,SIN ESPECIFICAR,49,european chestnuts_variety,2025-08-13 17:14:23
1264,SIN ESPECIFICAR,30,loquat_variety,2025-08-13 17:14:23
1265,THOMPSON S.C.,10,almonds_variety,2025-08-13 17:14:23
1266,BUTTE S.C.,10,almonds_variety,2025-08-13 17:14:23
1267,ZUTANO,3,avocados_variety,2025-08-13 17:14:23
1268,TEXAS S.C.,10,almonds_variety,2025-08-13 17:14:23
